strategy,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_trades,win_rate,final_value,lookback
Momentum (195),-0.9999984351638456,-0.012774188765938721,1.5691222451726106,-0.008140977419215354,-0.013500184113107126,-0.9999992845790993,8100,0.4959793299010385,1.5648361544563226e-06,195
Momentum (390),-0.9285302519678519,-0.0025343553326698798,1.5672934890799777,-0.0016170266451866525,-0.0026920416831560153,-0.9841848487436389,5510,0.4985859911991787,0.0714697480321481,390
Momentum (780),26.205618369918238,0.0031821362715700463,1.5652341344586662,0.0020330097596999975,0.0033798358611401647,-0.9248335870577655,3630,0.5002919613313437,27.205618369918238,780
Momentum (1950),246602.26584286205,0.012012278411789978,1.5608979863669257,0.007695748547763333,0.012775500987566349,-0.8297923795238731,1681,0.5010552589296278,246603.26584286205,1950
Momentum (3900),155988128.6770113,0.01830938545715277,1.553964484707455,0.011782370599415368,0.019523883749580945,-0.7559351564390769,895,0.4995362967090424,155988129.6770113,3900
