portfolio_run_id,gate_threshold,max_assets,high_corr_scale,execution_delay_bars,latency_lookback_bars,total_trades,gated_signals_count,gated_cluster_window_count,portfolio_net_pnl,portfolio_profit_factor
portfolio_fcf1b927ced5,0.7,2,0.5,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_2fe1b7351b67,0.7,2,0.5,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_f070f2a57ef8,0.7,2,0.5,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_88aec80fa4c2,0.7,2,0.5,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_6640ee54bbec,0.7,2,0.6,0,0,15,3,0,-8.730483028485855,0.7042586538378387
portfolio_efcd99209cf3,0.7,2,0.6,0,1,14,4,1,-11.251900679266084,0.6188467186853679
portfolio_cbd36bcd47fa,0.7,2,0.6,0,2,13,6,3,-17.309818735022148,0.4136373580000774
portfolio_44a0f5330043,0.7,2,0.6,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_37b9e16eb25b,0.7,2,0.6,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_258ca36bfa5c,0.7,2,0.6,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_061e7bd96353,0.7,2,0.6,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_a7175568b183,0.7,2,0.6,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_b6b74f3eea14,0.7,2,0.6,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_f95f86bc3f20,0.75,1,0.25,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_f6329294de09,0.75,1,0.25,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_f46490245dd8,0.75,1,0.25,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_2467d475126d,0.75,1,0.25,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_ede546059266,0.75,1,0.25,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_b69e431246f6,0.75,1,0.25,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_de4b65e0db48,0.75,1,0.25,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_269711d1c6e9,0.75,1,0.25,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_765274d573fa,0.75,1,0.25,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_150d177751bf,0.75,1,0.4,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_cea1df6dd08c,0.75,1,0.4,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_90abeb214809,0.75,1,0.4,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_059637234041,0.75,1,0.4,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_a71fc446c551,0.75,1,0.4,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_a49621b91613,0.75,1,0.4,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_5508a41f0e9f,0.75,1,0.4,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_35420f4eb3a1,0.75,1,0.4,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_1ae8985aa1cc,0.75,1,0.4,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_4271d80ebb59,0.75,1,0.5,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_3d19aa96260e,0.75,1,0.5,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_e758ec77db54,0.75,1,0.5,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_9eecc1be2403,0.75,1,0.5,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_0445eb5c0b97,0.75,1,0.5,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_7188eb607e06,0.75,1,0.5,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_8f0262c958cf,0.75,1,0.5,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_b59da3476dcb,0.75,1,0.5,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_5854670c8ee3,0.75,1,0.5,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_2f7584f471e0,0.75,1,0.6,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_cbcf5ce2cc9c,0.75,1,0.6,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_ae02ec50c254,0.75,1,0.6,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_3dc5f973ce74,0.75,1,0.6,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_794e437e0c1c,0.75,1,0.6,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_c8fa5e848d99,0.75,1,0.6,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_030b105200ad,0.75,1,0.6,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_12d20884de84,0.75,1,0.6,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_fd3873d01a7f,0.75,1,0.6,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_e4503723ae48,0.75,2,0.25,0,0,16,2,0,-8.113072764287132,0.725173160179893
portfolio_016e22d91dd0,0.75,2,0.25,0,1,15,3,1,-10.634490415067363,0.6397612250274223
portfolio_9aa916b86b15,0.75,2,0.25,0,2,14,5,3,-16.692408470823427,0.4345518643421318
portfolio_4cb951149c65,0.75,2,0.25,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_2fc33b8954cb,0.75,2,0.25,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_43a899069c07,0.75,2,0.25,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_48802ba8eaa1,0.75,2,0.25,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_10f75228f04f,0.75,2,0.25,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_33ecb11d78e8,0.75,2,0.25,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_db2c8ce72ca8,0.75,2,0.4,0,0,16,2,0,-8.113072764287132,0.725173160179893
portfolio_e4e2006af3d7,0.75,2,0.4,0,1,15,3,1,-10.634490415067363,0.6397612250274223
portfolio_509d6097333e,0.75,2,0.4,0,2,14,5,3,-16.692408470823427,0.4345518643421318
portfolio_900bacea8005,0.75,2,0.4,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_8b1e612f16dd,0.75,2,0.4,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_c94e30282858,0.75,2,0.4,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_b4b2ecd40fb0,0.75,2,0.4,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_f5496e6e7ab5,0.75,2,0.4,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_29269fa490a5,0.75,2,0.4,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_0fec7b5e31e0,0.75,2,0.5,0,0,16,2,0,-8.113072764287132,0.725173160179893
portfolio_e6acbd2b6908,0.75,2,0.5,0,1,15,3,1,-10.634490415067363,0.6397612250274223
portfolio_c7f97ff3d313,0.75,2,0.5,0,2,14,5,3,-16.692408470823427,0.4345518643421318
portfolio_8053dc8da217,0.75,2,0.5,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_b27841ad54f4,0.75,2,0.5,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_f4d4a579728f,0.75,2,0.5,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_8d03bea6a976,0.75,2,0.5,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_c696bd89e88f,0.75,2,0.5,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_aaff060af9dc,0.75,2,0.5,2,2,16,3,3,-51.444301039916006,0.06289733095071291
