rowid,portfolio_run_id,total_trades,gated_signals_count,portfolio_net_pnl,portfolio_profit_factor,gate_threshold,max_assets,high_corr_scale,execution_delay_bars
63,portfolio_31756ac5a5f3,18,0,-47.80235033396764,0.12923862936668454,0.8,2,0.25,2
64,portfolio_bdcce8ed9b96,17,1,-14.475312335356682,0.5965959271302936,0.8,2,0.4,0
65,portfolio_4727eb106ddb,18,0,-30.021457100808522,0.3013422399469477,0.8,2,0.4,1
66,portfolio_c64a8dff99a4,18,0,-47.80235033396764,0.12923862936668454,0.8,2,0.4,2
67,portfolio_526ad788dd95,17,1,-14.475312335356682,0.5965959271302936,0.8,2,0.5,0
68,portfolio_2eb7ac2d4cc1,18,0,-30.021457100808522,0.3013422399469477,0.8,2,0.5,1
69,portfolio_417d4bb1e842,18,0,-47.80235033396764,0.12923862936668454,0.8,2,0.5,2
70,portfolio_ceb44ef75288,17,1,-14.475312335356682,0.5965959271302936,0.8,2,0.6,0
71,portfolio_79584dfdb2bc,18,0,-30.021457100808522,0.3013422399469477,0.8,2,0.6,1
72,portfolio_50baabcba74c,18,0,-47.80235033396764,0.12923862936668454,0.8,2,0.6,2
73,portfolio_686d9d78b215,11,4,-10.319065136644944,0.5419838928218692,0.85,1,0.25,0
74,portfolio_ecfe3e048180,11,4,-22.15498650555093,0.16701487006174648,0.85,1,0.25,1
75,portfolio_4b2ecaccef63,11,4,-33.706652719036434,0.08964306473430372,0.85,1,0.25,2
76,portfolio_016e8331ac93,11,4,-10.319065136644944,0.5419838928218692,0.85,1,0.4,0
77,portfolio_447a7656d365,11,4,-22.15498650555093,0.16701487006174648,0.85,1,0.4,1
78,portfolio_13b7685b4105,11,4,-33.706652719036434,0.08964306473430372,0.85,1,0.4,2
79,portfolio_faccf2c225a5,11,4,-10.319065136644944,0.5419838928218692,0.85,1,0.5,0
80,portfolio_3d397b218c97,11,4,-22.15498650555093,0.16701487006174648,0.85,1,0.5,1
81,portfolio_8979406be088,11,4,-33.706652719036434,0.08964306473430372,0.85,1,0.5,2
82,portfolio_9df42db3dcad,11,4,-10.319065136644944,0.5419838928218692,0.85,1,0.6,0
83,portfolio_916d5a5f967a,11,4,-22.15498650555093,0.16701487006174648,0.85,1,0.6,1
84,portfolio_7d0e309614b2,11,4,-33.706652719036434,0.08964306473430372,0.85,1,0.6,2
85,portfolio_43ff9415a11a,18,0,-19.90875554856198,0.5181386146660921,0.85,2,0.25,0
86,portfolio_3274c4de3028,18,0,-30.021457100808522,0.3013422399469477,0.85,2,0.25,1
87,portfolio_99f2bf5c890d,18,0,-47.80235033396764,0.12923862936668454,0.85,2,0.25,2
88,portfolio_af8b86aa2b2a,18,0,-19.90875554856198,0.5181386146660921,0.85,2,0.4,0
89,portfolio_d5d3d8816a33,18,0,-30.021457100808522,0.3013422399469477,0.85,2,0.4,1
90,portfolio_fbf459363360,18,0,-47.80235033396764,0.12923862936668454,0.85,2,0.4,2
91,portfolio_73c6f5bb01c2,18,0,-19.90875554856198,0.5181386146660921,0.85,2,0.5,0
92,portfolio_cd1c60f8d6b2,18,0,-30.021457100808522,0.3013422399469477,0.85,2,0.5,1
93,portfolio_a014ac9c88a6,18,0,-47.80235033396764,0.12923862936668454,0.85,2,0.5,2
94,portfolio_95b83fd5371d,18,0,-19.90875554856198,0.5181386146660921,0.85,2,0.6,0
95,portfolio_ed4b758e1e15,18,0,-30.021457100808522,0.3013422399469477,0.85,2,0.6,1
96,portfolio_c2e1e7c07ead,18,0,-47.80235033396764,0.12923862936668454,0.85,2,0.6,2
